species,family,order,fishbase_name,fishbase_column_pos,depth_min,depth_max,migration,length_cm,length_type,diet_fishbase,buek_diet,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,add_rems,comments,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental_care,fecundity,life_span,social,sources,fish,decapod,pelagic_crustacean,pteropoda,worm,tunicate,cephalopod,gastropod,ctenophora,echinoderm,bivalvia,cnidaria,eggs,bird,in_phylo
Limanda aspera,Pleuronectidae,Pleuronectiformes,Limanda aspera,NA,10,600,NA,49,TL,hunting macrofauna (predator),benthivorous,invertivore,NOAA,benthic,terminal,rounded,soft bottoms,benthic,NA,"Adults feed on hydroids, worms, mollusks, and brittle stars (Ref. 6885).  Marketed frozen and eaten fried, microwaved and baked (Ref. 9988).",-1.5,13,NA,NA,estuarine,USGS,non-guarder,3635108,39,schooling,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,1.19800995,6.348258706,34.71442786,0.545273632,29.70746269,2.252736318,0.019900498,1.408955224,0,11.47860697,11.82089552,0.358208955,0.143283582,0.0039801,TRUE
Limanda proboscidea,Pleuronectidae,Pleuronectiformes,Limanda proboscidea,NA,10,125,NA,41,TL,hunting macrofauna (predator),benthivorous,invertivore,NOAA,benthic,terminal,rounded,soft bottoms,benthic,Benthic.,Benthic (Ref. 58426).,-1.8,11.7,NA,NA,NA,NA,non-guarder,841000,NA,NA,Love 2011,0.280898876,0,35.95505618,0,52.52808989,0,0,0.280898876,0,0,10.11235955,0.280898876,0.561797753,0,TRUE
Limanda sakhalinensis,Pleuronectidae,Pleuronectiformes,Limanda sakhalinensis,NA,20,95,NA,35,TL,NA,generalist,planktivore,NOAA,benthic,terminal,rounded,soft bottoms,benthic,NA,NA,-1.7,9.3,NA,NA,NA,USGS,non-guarder,NA,8,NA,Beukhof et al. 2019,0,0.34965035,80.06993007,0,17.83216783,0.34965035,0,0,0,0,1.398601399,0,0,0,TRUE
Liopsetta glacialis,Pleuronectidae,Pleuronectiformes,Liopsetta glacialis,NA,0,19,NA,35,TL,hunting macrofauna (predator),NA,invertivore,NOAA,benthic,terminal,truncate,mud bottoms,benthic,"A coastal species not found far offshore (Ref. 27547).  Occurs at shallow depths on mud bottoms, often in brackish water and may even enter rivers (Ref. 4705).  Benthic (Ref. 58426).  Feeds on small fishes, bottom invertebrates (Ref. 4705), and zoobenthos (Ref. 27547).  Moves closer inshore in the evenings, especially on a rising tide (Ref. 27547).  Appears to move offshore in the fall and inshore in the spring (Ref. 27547).","A coastal species not found far offshore (Ref. 27547).  Occurs at shallow depths on mud bottoms, often in brackish water (Ref. 4705) and frequently entering freshwaters (Ref. 59043).  Benthic (Ref. 58426).  Feeds on small fishes and bottom invertebrates (Ref. 4705).  Moves closer inshore in the evenings, especially on a rising tide (Ref. 27547).  Appears to move offshore in the fall and inshore in the spring (Ref. 27547).",-1,13.5,0,31,NA,USGS,NA,200000,28,schooling,"mecks, USGS",0,0,16.66666667,0,66.66666667,0,0,0,0,16.66666667,0,0,0,0,FALSE
Lyopsetta exilis,Pleuronectidae,Pleuronectiformes,Lyopsetta exilis,NA,10,800,NA,35,TL,hunting macrofauna (predator),benthivorous,invertivore,NOAA,benthic,terminal,rounded,mud bottoms,benthic,NA,Occurs in the vicinity of rocky areas (Ref. 4925).  Good food fish but is of little commercial importance due to its small size (Ref. 6885).,4.1,10.8,NA,NA,NA,Love 2011,non-guarder,NA,20,NA,Love 2011,0,59.25925926,25.92592593,0,11.11111111,0,0,0,0,3.703703704,0,0,0,0,TRUE
Microstomus pacificus,Pleuronectidae,Pleuronectiformes,Microstomus pacificus,NA,9,1244,NA,76,TL,hunting macrofauna (predator),benthivorous,invertivore,NOAA,benthic,terminal,rounded,mud bottoms,benthic,NA,Adults occur on mud bottom (Ref. 2850).  They move into deep water in winter (Ref. 2850).  Produce large amounts of slime which may cover other fishes when caught in trawls (Ref. 4925).  Marketed as mink food (Ref. 4925) or as fillet (Ref. 2850).,2.3,11.2,NA,NA,NA,Love 2011,non-guarder,265000,60,NA,Love 2011,0.109469075,1.3136289,30.76081007,0,40.77723043,0.21893815,0.492610837,1.09469075,0,17.0771757,7.389162562,0.4378763,0.328407225,0,TRUE
Parophrys vetulus,Pleuronectidae,Pleuronectiformes,Parophrys vetulus,NA,0,550,oceanodromous,61,TL,hunting macrofauna (predator),benthivorous,invertivore,NOAA,benthic,terminal,truncate,sandy mud bottoms,benthic,NA,"Adults inhabit sand and mud bottoms (Ref. 4925).  Young occur in intertidal areas.  Feed on small crustaceans, marine worms, brittle stars and small mollusks (Ref. 6885).  Spawning adults make extensive migrations (Ref. 6885).",2.9,21,12,NA,NA,Love 2011,non-guarder,2100000,23,NA,Love 2011,0.323624595,0.647249191,23.62459547,0,46.92556634,0,0,1.294498382,0,13.91585761,12.94498382,0,0,0.323624595,TRUE
Platichthys stellatus,Pleuronectidae,Pleuronectiformes,Platichthys stellatus,NA,0,375,catadromous,91,TL,hunting macrofauna (predator),benthivorous,invertivore,NOAA,benthic,terminal,truncate,soft bottoms,benthic,"Euryhaline, can exist in freshwater lagoons and river mouths, sometimes moving very far upstream. Occurs mainly in the upper sublittoral zone (Ref. 9013).  Found inshore, often in very shallow water and in estuaries during the summer; moving into deeper water in the winter (Ref. 27547).  However, they may occur in deep water throughout the year (Ref. 27547).  Does not venture into water of high salinities (Ref. 28899).  Young and adults move up rivers, as much as 120 km (Ref. 27547).  Benthic (Ref. 58426).  Feeds on crustaceans, worms, small mollusks, brittle stars, and small fishes (Ref. 6885).","Found inshore, often in very shallow water and in estuaries during the summer; moving into deeper water in the winter (Ref. 27547).  However, they may occur in deep water throughout the year (Ref. 27547).  Does not venture into water of high salinities (Ref. 28899).  Young and adults move up rivers, as much as 120 km (Ref. 27547).  Benthic (Ref. 58426).  Feeds on crustaceans, worms, small mollusks, brittle stars, and small fishes (Ref. 6885).  Important game fish (Ref. 2850).  Utilized fresh and frozen; eaten steamed, fried, boiled, microwaved, and baked (Ref. 9988).",-1.8,11.7,3.7,8,found in freshwater,USGS,non-guarder,2287000,42,NA,Love 2011,3.917050691,1.612903226,10.36866359,0,28.80184332,0.230414747,0,0.69124424,0,14.51612903,39.63133641,0.230414747,0,0,TRUE
Pleuronectes quadrituberculatus,Pleuronectidae,Pleuronectiformes,Pleuronectes quadrituberculatus,NA,6,475,NA,62,TL,hunting macrofauna (predator),benthivorous,invertivore,NOAA,benthic,terminal,rounded,soft bottoms,benthic,These benthivores are adapted for extracting polychaetes from the sediment (Ref. 27301).,Adults feed mainly on polychaetes and amphipods (Ref. 27301).,-1.7,12,NA,NA,NA,NA,non-guarder,521000,37,NA,"https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090, Love 2011",0.209371165,0.808605877,20.72052559,0.267128727,56.65294925,0.43318172,0,1.812143528,0,5.16208216,13.62356509,0.267128727,0.036098477,0.007219695,TRUE
Pleuronichthys coenosus,Pleuronectidae,Pleuronectiformes,Pleuronichthys coenosus,demersal,18,350,NA,36,TL,NA,benthivorous,invertivore,Beukhof et al. 2019,benthic,terminal,rounded,rocky bottoms,benthic,NA,Found on flat bottoms and rocky areas (Ref. 2850).  Young are common in shallow water during the summer but adults frequently in deeper water (Ref. 6885).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Pleuronichthys decurrens,Pleuronectidae,Pleuronectiformes,Pleuronichthys decurrens,NA,8,533,NA,36,TL,hunting macrofauna (predator),generalist,invertivore,fishbase,benthic,terminal,rounded,soft bottoms,benthic,Commonly found on soft bottom. Feeds on brittle stars and nudibranchs.,"Commonly found on soft bottom (Ref. 2850).  Feed on brittle stars and nudibranchs (Ref. 27436).  Minimal interest to anglers, usually an incidental catch (Ref. 27436).",NA,NA,NA,NA,found in estuaries,NA,non-guarder,NA,10,NA,Love 2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Psettichthys melanostictus,Pleuronectidae,Pleuronectiformes,Psettichthys melanostictus,NA,1,325,NA,63,TL,hunting macrofauna (predator),generalist,generalist,fishbase,benthic,terminal,rounded,sandy bottoms,benthic,Feeds on fish and invertebrates (Ref. 6885).,"Inhabits sandy bottoms.  Feeds on fishes, worms, crustaceans and mollusks (Ref. 6885).",NA,NA,NA,NA,NA,NA,non-guarder,1400000,10,NA,Love 2011,70,20,10,0,0,0,0,0,0,0,0,0,0,0,TRUE
Reinhardtius hippoglossoides,Pleuronectidae,Pleuronectiformes,Reinhardtius hippoglossoides,NA,14,2000,oceanodromous,130,TL,hunting macrofauna (predator),generalist,generalist,fishbase,pelagic,terminal,truncate,soft bottoms,demersal,"Often caught pelagically (Ref. 4705).  Feeds on crustaceans (Ref. 4705, 6885), eelpouts, capelin, redfishes, deep sea prawns and other bottom invertebrates (Ref. 35388).  Food also includes Atlantic cod, polar cod, young Greenland halibut, roundnose grenadier, barracudinas, sand lance and cephalopods (Ref. 5951).  Greenland halibut <20 cm collected in the continental shelf <200 m deep, euphausiids were the important food.  Fish >70 cm had a higher daily ration value (1.17% of body weight per day)  than for two smaller size groups (0.66 and 0.64% of body weight per day for 30-49 and 50-69 size groups, respectively) (Ref. 55110).  It is preyed upon by Greenland shark, white whales, narwhals, hooded seals, cod and salmon.  Parasites of the species include 3 trematodes, <i>Brachyphallus crenatus</i>, <i>Derogenes varicus</i> and <i>Fellidostomum furcigerum</i>; and 1 nematode (Ref. 5951).","Often caught pelagically (Ref. 4705). Adults prefer bottom temperatures of -0.5ª??C to 6.0ª??C (Ref. 5951).  Epibenthic (Ref. 58426).  Feed on crustaceans, fishes (Ref. 4705, 6885), eelpouts, capelin, redfishes, deep sea prawns and other bottom invertebrates (Ref. 35388).  Batch spawner (Ref. 51846).  Utilized dried or salted and frozen; can be steamed and fried (Ref. 9988). Size of the Greenland halibut collected from 400-599 m deep in eastern Bering Sea, ranged from 9 to 99 cm FL with a mean of 56 cm (Ref. 55110).",-0.5,10,NA,NA,NA,"Coad et al. 2018, USGS",non-guarder,300000,30,solitary,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,77.23163842,6.214689266,10.39548023,0.282485876,0.451977401,0,4.519774011,0.169491525,0,0.451977401,0.11299435,0.056497175,0.11299435,0,TRUE
Dasycottus setiger,Psychrolutidae,Scorpaeniformes,Dasycottus setiger,NA,15,850,NA,45,TL,hunting macrofauna (predator),NA,invertivore,Buser et al. 2019,benthic,terminal,rounded,soft bottoms,benthic,Found on soft bottoms (Ref. 2850).,Found on soft bottoms (Ref. 2850).,-0.6,6.1,NA,NA,NA,Love 2011,NA,NA,11,NA,Blake et al. supp mat,12.5,33.33333333,37.5,0,3.125,0,0,0,0,1.041666667,12.5,0,0,0,TRUE
Eurymen gyrinus,Psychrolutidae,Scorpaeniformes,Eurymen gyrinus,demersal,14,400,NA,39,TL,NA,NA,NA,NA,NA,terminal,truncate,NA,benthic,NA,NA,NA,NA,NA,NA,NA,NA,guarding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Malacocottus aleuticus,Psychrolutidae,Scorpaeniformes,Malacocottus aleuticus,benthopelagic,300,1000,NA,9.800000191,TL,NA,NA,NA,NA,NA,terminal,rounded,sandy bottoms,demersal,NA,Collected from sand and broken shell bottom; also caught in pelagic environment (Ref. 43939).,NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Malacocottus kincaidi,Psychrolutidae,Scorpaeniformes,Malacocottus kincaidi,NA,27,1025,NA,10.6,TL,variable,NA,generalist,NOAA,benthic,terminal,rounded,soft bottoms,benthic,NA,Usually on soft bottoms (Ref. 2850).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,0,0,0,0,20,0,20,0,0,0,0,TRUE
Malacocottus zonurus,Psychrolutidae,Scorpaeniformes,Malacocottus zonurus,NA,95,1980,NA,39,TL,NA,NA,invertivore,NOAA,NA,terminal,truncate,all,benthic,NA,NA,0,4.3,NA,NA,NA,Love 2011,NA,NA,12,NA,Blake et al. supp mat,4.245283019,9.905660377,33.49056604,0,31.60377358,0.471698113,1.886792453,8.962264151,0,8.490566038,0,0.943396226,0,0,TRUE
Psychrolutes paradoxus,Psychrolutidae,Scorpaeniformes,Psychrolutes paradoxus,NA,9,240,NA,6.5,TL,hunting macrofauna (predator),NA,generalist,NA,NA,terminal,rounded,all,benthic,NA,Found on soft bottoms and possibly rocky bottoms (Ref. 2850).  Reported near shore (Ref. 2850).  Prefers low temperatures (Ref. 6885).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Psychrolutes phrictus,Psychrolutidae,Scorpaeniformes,Psychrolutes phrictus,NA,480,2800,NA,70,TL,NA,benthivorous,generalist,Buser et al. 2019,benthic,inferior,truncate,NA,benthic,NA,"Occurs in very deep waters (Ref. 2850).  Feeds on sea pens, crabs and mollusks (Ref. 2850).",NA,NA,NA,NA,NA,NA,guarder,108125,NA,NA,Love 2011,0,27.27272727,0,0,18.18181818,0,9.090909091,0,27.27272727,0,18.18181818,0,0,0,TRUE
Psychrolutes sigalutes,Psychrolutidae,Scorpaeniformes,Psychrolutes sigalutes,demersal,0,225,NA,8.300000191,TL,hunting macrofauna (predator),NA,NA,NA,NA,terminal,rounded,soft and rocky bottoms,benthic,NA,"Occurs in rocky areas, among sponges; also found on soft bottoms (Ref. 2850).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bathyraja abyssicola,Rajidae,Rajiformes,Bathyraja abyssicola,bathydemersal,362,2910,NA,157,TL,NA,NA,generalist,Beukhof et al. 2019,benthic,inferior,pointed,sandy mud bottoms,benthic,NA,"Oviparous.  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205).  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205).  Egg capsule measures 105.8 mm long and 65.2 mm wide (Ref. 41249).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,25,50,0,0,0,0,25,0,0,0,0,0,0,0,FALSE
Bathyraja aleutica,Rajidae,Rajiformes,Bathyraja aleutica,bathydemersal,15,1602,NA,161,TL,hunting macrofauna (predator),generalist,generalist,Beukhof et al. 2019,benthic,inferior,pointed,sandy mud bottoms,benthic,"Feeds on fish, benthic invertebrates and detritus (Ref. 27640).","Oviparous.  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205).  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205).  Egg capsule measures 120-136 mm long and 73-90 mm wide (Ref. 41249, 41253).",NA,NA,NA,NA,NA,NA,non-guarder,14,20,NA,Blake et al. supp mat,23.22097378,54.49438202,12.17228464,0,5.992509363,0,3.558052434,0.187265918,0,0,0.187265918,0.187265918,0,0,FALSE
Bathyraja interrupta,Rajidae,Rajiformes,Bathyraja interrupta,bathydemersal,23,1500,NA,86,TL,hunting macrofauna (predator),generalist,generalist,Beukhof et al. 2019,benthic,inferior,pointed,sandy mud bottoms,benthic,"Feeds on squids, fish eggs, detritus and benthic invertebrates (Ref. 27640).","Inhabit the outer continental shelf, on mud or sand bottoms (Ref. 27436).  Frequently found buried in substrate (Ref. 27436).  Feed on benthic invertebrates and fishes.  Oviparous.  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205).  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205).  Egg capsules are 4.9-5.9 cm long and 4.0-5.0 cm wide (Ref. 41300).  6-9 eggs are produced annually (Ref. 41300).  Although the pectoral fins may be used to prepare a variety of dishes, they are generally considered not saleable, and incidental catches are usually discarded (Ref. 27436).  Occasionally used to produce mink feed and fertilizer (Ref. 27436).  Minimum depth reported from Ref. 6793.",NA,NA,NA,NA,NA,NA,non-guarder,NA,19,NA,Blake et al. supp mat,7.540173053,47.71322621,31.89122373,0,10.8776267,0,1.359703337,0.247218789,0,0,0.247218789,0.123609394,0,0,FALSE
Bathyraja lindbergi,Rajidae,Rajiformes,Bathyraja lindbergi,demersal,NA,2000,NA,60.70000076,WD,NA,NA,generalist,Beukhof et al. 2019,benthic,inferior,pointed,NA,benthic,NA,Oviparous (Ref. 50449).  Eggs have horn-like projections on the shell (Ref. 205).  Depth range given by H. Ishihara (pers.comm. 07/07).,NA,NA,NA,NA,NA,NA,non-guarder,NA,32,NA,Beukhof et al. 2019,30,0,20,0,0,0,40,10,0,0,0,0,0,0,FALSE
Bathyraja maculata,Rajidae,Rajiformes,Bathyraja maculata,bathydemersal,70,1193,NA,115,TL,hunting macrofauna (predator),generalist,generalist,Beukhof et al. 2019,benthic,inferior,pointed,NA,benthic,NA,"Holotype taken from a depth of about 450 m (Ref. 26282).  Maximum depth based on report for Bering Sea and Aleutian Islands (Ref. 80796). Oviparous.  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205).  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205).  Egg capsules are 10.19 cm long and 6.28 cm wide (Ref. 41249).",NA,NA,NA,NA,NA,NA,non-guarder,NA,32,NA,Beukhof et al. 2019,35,29.58333333,15,0,5,1.25,13.75,0,0,0.416666667,0,0,0,0,FALSE
Bathyraja mariposa,Rajidae,Rajiformes,Bathyraja mariposa,benthopelagic,90,448,NA,76,TL,NA,NA,generalist,Beukhof et al. 2019,benthic,inferior,pointed,NA,benthic,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bathyraja minispinosa,Rajidae,Rajiformes,Bathyraja minispinosa,demersal,150,1420,NA,82.5,TL,hunting macrofauna (predator),generalist,generalist,Beukhof et al. 2019,benthic,inferior,pointed,NA,benthic,Feeds on fish and benthic crustaceans (Ref. 27640).,"Juveniles feed mainly on amphipods, adults feed on crabs and fish (Ref. 27640).  Oviparous.  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205).  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205).  Egg capsules are 7.6 cm long and 5.5 cm wide (Ref. 41249).",NA,NA,NA,NA,NA,NA,non-guarder,NA,37,NA,Beukhof et al. 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bathyraja panthera,Rajidae,Rajiformes,Bathyraja panthera,demersal,51,258,NA,111,TL,NA,NA,generalist,Beukhof et al. 2019,benthic,inferior,pointed,NA,benthic,NA,Maximum length observed was 139 cm TL (Ref. 89865).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,73.91304348,17.39130435,4.347826087,0,4.347826087,0,0,0,0,0,0,0,0,0,FALSE
Bathyraja parmifera,Rajidae,Rajiformes,Bathyraja parmifera,demersal,20,1450,NA,135,TL,hunting macrofauna (predator),generalist,generalist,Beukhof et al. 2019,benthic,inferior,pointed,sandy mud bottoms,benthic,"Feeds on fish, squids and benthic invertebrates (Ref. 27640).","An epi- to mesobenthic species (Ref. 89865). Large individuals are reported to feed on  <i>Pleurogrammus monopterygius</i> and miscellaneous other fishes, while the smaller ones feed on crabs and amphipods; in the eastern Bering Sea, mature individuals feed primarily on <i>Theragra chalcogramma</i>, miscellaneous fishes, and <i>Chionocetes</i>crabs (Ref. 89865). Oviparous.  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205).  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205).  Egg capsules are 12.9-15.0 cm long and 8.9-9.1 cm wide (Ref. 41249, 41298).",NA,NA,NA,NA,NA,NA,non-guarder,NA,19,NA,Beukhof et al. 2019,23.25738968,45.52384179,23.16422461,0,7.046667231,0.050817312,0.152451935,0.118573727,0,0.254086559,0.254086559,0.093165072,0.08469552,0,FALSE
